campaign,scenario_id,scenario_family,planner_key,seed_count,success_mean,success_ci_low,success_ci_high,collisions_mean,collisions_ci_low,collisions_ci_high,snqi_mean,snqi_ci_low,snqi_ci_high
issue_1454_s10_h500_candidates_2026-05-23,classic_t_intersection_low,,hybrid_rule_v3_fast_progress_static_escape,10,1.0,1.0,1.0,0.0,0.0,0.0,0.050828392816870405,-0.02629210502902249,0.10124821540771328
issue_1454_s10_h500_candidates_2026-05-23,classic_t_intersection_medium,,hybrid_rule_v3_fast_progress_static_escape,10,1.0,1.0,1.0,0.0,0.0,0.0,0.02279751083114435,-0.049618202170818845,0.08121576028323063
issue_1454_s10_h500_candidates_2026-05-23,classic_urban_crossing_medium,,hybrid_rule_v3_fast_progress_static_escape,10,0.8,0.5,1.0,0.0,0.0,0.0,0.032179974898559775,-0.08078308879527998,0.11254105389799385
issue_1454_s10_h500_candidates_2026-05-23,francis2023_accompanying_peer,,hybrid_rule_v3_fast_progress_static_escape,10,1.0,1.0,1.0,0.0,0.0,0.0,0.10846644074999401,0.10720084747777893,0.10958197676184966
issue_1454_s10_h500_candidates_2026-05-23,francis2023_blind_corner,,hybrid_rule_v3_fast_progress_static_escape,10,0.9,0.6,1.0,0.0,0.0,0.0,-0.15046089404236085,-0.1608319112009952,-0.13225289933459447
issue_1454_s10_h500_candidates_2026-05-23,francis2023_circular_crossing,,hybrid_rule_v3_fast_progress_static_escape,10,0.9,0.7,1.0,0.1,0.0,0.3,0.032492076274557885,-0.04639128539143932,0.08326239963868778
issue_1454_s10_h500_candidates_2026-05-23,francis2023_crowd_navigation,,hybrid_rule_v3_fast_progress_static_escape,10,1.0,1.0,1.0,0.0,0.0,0.0,-0.330401535963543,-0.4590540680491266,-0.19345462605465816
issue_1454_s10_h500_candidates_2026-05-23,francis2023_down_path,,hybrid_rule_v3_fast_progress_static_escape,10,1.0,1.0,1.0,0.0,0.0,0.0,0.10957905782498252,0.10829828862616499,0.11070501979328165
issue_1454_s10_h500_candidates_2026-05-23,francis2023_entering_elevator,,hybrid_rule_v3_fast_progress_static_escape,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0924810575785807,0.08703403643499276,0.09742373327550366
issue_1454_s10_h500_candidates_2026-05-23,francis2023_entering_room,,hybrid_rule_v3_fast_progress_static_escape,10,1.0,1.0,1.0,0.0,0.0,0.0,0.09885587294146166,0.09513211156358925,0.10277108785551413
issue_1454_s10_h500_candidates_2026-05-23,francis2023_exiting_elevator,,hybrid_rule_v3_fast_progress_static_escape,10,0.9,0.7,1.0,0.0,0.0,0.0,-0.11765887742907885,-0.24859698951518375,-0.003501568464214857
issue_1454_s10_h500_candidates_2026-05-23,francis2023_exiting_room,,hybrid_rule_v3_fast_progress_static_escape,10,1.0,1.0,1.0,0.0,0.0,0.0,0.09355754975704451,0.08878461481785299,0.09687641094714598
