"step","topology_status","hypothesis_count","hypothesis_ids","selected_hypothesis_id","selected_score","primary_route_remaining_m","best_alternative_id","best_alternative_remaining_m","primary_minus_best_alternative_remaining_m","missing_trace_fields"
109,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
110,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
111,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
112,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
113,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
114,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
115,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
116,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
117,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
118,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
119,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
120,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
121,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
122,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
123,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
124,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
125,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
126,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
127,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
128,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
129,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
130,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
131,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
132,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
133,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
134,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
135,"insufficient_hypotheses",1,"primary_route","","",4.131370911460699,"","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
136,"insufficient_hypotheses",1,"primary_route","","",4.048528197751627,"","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
137,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
138,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
139,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
140,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
141,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
142,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
143,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
144,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
145,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
146,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
147,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
148,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
149,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
150,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
151,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
152,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
153,"insufficient_hypotheses",0,"","","","","","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
154,"ok",2,"primary_route;masked_cell_74_95","","",15.214213789082544,"masked_cell_74_95",15.876955498755118,-0.6627417096725736,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
155,"ok",3,"primary_route;masked_cell_73_103;masked_cell_73_111","primary_route",7.683673875642062,15.097056499811382,"masked_cell_73_103",15.42842735464767,-0.3313708548362886,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
156,"ok",2,"primary_route;masked_cell_74_95","primary_route",8.213413491284712,15.014213786102312,"masked_cell_74_95",15.676955495774886,-0.6627417096725736,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
157,"ok",3,"primary_route;masked_cell_74_95;masked_cell_74_103","","",15.345584640938599,"masked_cell_74_103",15.345584640938599,0,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
158,"ok",3,"primary_route;masked_cell_75_95;masked_cell_75_103","","",15.594112782065812,"masked_cell_75_103",15.42842735464767,0.16568542741814163,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
159,"ok",3,"primary_route;masked_cell_75_95;masked_cell_75_103","primary_route",8.125476797530302,15.725483633921867,"masked_cell_75_103",15.559798206503725,0.16568542741814163,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
