planner_key,algo,scenario_family,scenario_id,use_case,context,speed_regime,maneuver_type,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
ppo,ppo,robot_crowding,francis2023_robot_crowding,,,,,3,0.3333,0.6667,0.6667,0.0000,0.6667,3.0000,0.7261,0.7661,0.1356,,'-0.5310
ppo,ppo,robot_overtaking,francis2023_robot_overtaking,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2961,1.0000,0.0000,,0.0149
prediction_planner,prediction_planner,bottleneck,classic_bottleneck_high,,,,,3,0.0000,1.0000,0.6667,0.3333,1.0000,2.6667,1.0000,1.0000,0.0000,,'-0.2435
prediction_planner,prediction_planner,bottleneck,classic_bottleneck_low,,,,,3,0.6667,0.3333,0.0000,0.3333,0.3333,0.0000,0.4961,1.0000,0.0000,,0.0404
prediction_planner,prediction_planner,bottleneck,classic_bottleneck_medium,,,,,3,0.6667,0.3333,0.0000,0.3333,0.3333,36.3333,0.5389,1.0000,0.0000,,'-0.1692
prediction_planner,prediction_planner,cross_trap,classic_cross_trap_high,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,49.6667,1.0000,1.0000,0.3934,,'-0.4238
prediction_planner,prediction_planner,cross_trap,classic_cross_trap_low,,,,,3,0.3333,0.6667,0.0000,0.6667,0.6667,0.0000,0.8267,0.9925,0.0097,,'-0.0944
prediction_planner,prediction_planner,cross_trap,classic_cross_trap_medium,,,,,3,0.3333,0.6667,0.6667,0.0000,0.6667,55.6667,0.8639,0.9960,0.1757,,'-0.3651
prediction_planner,prediction_planner,doorway,classic_doorway_high,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,6.0000,1.0000,1.0000,0.0141,,'-0.4810
prediction_planner,prediction_planner,doorway,classic_doorway_low,,,,,3,0.0000,1.0000,0.6667,0.3333,1.0000,5.3333,1.0000,1.0000,0.0286,,'-0.4041
