planner_key,algo,scenario_family,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
sacadrl,sacadrl,t_intersection,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0425,,'-0.1258
social_force,social_force,accompanying_peer,3,0.0000,1.0000,0.0000,0.0000,0.0000,3.0000,1.0000,1.0000,0.1152,,'-0.7384
social_force,social_force,blind_corner,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.8977
social_force,social_force,bottleneck,12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.7446,0.0000,,'-0.9667
social_force,social_force,circular_crossing,3,0.0000,0.3333,0.0000,0.0000,0.0000,0.6667,1.0000,1.0000,0.1856,,'-0.8265
social_force,social_force,cross_trap,9,0.0000,0.1111,0.0000,0.0000,0.0000,5.3333,1.0000,1.0000,0.0791,,'-0.5414
social_force,social_force,crossing,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0113,,'-0.8961
social_force,social_force,crowd_navigation,3,0.0000,0.6667,0.0000,0.0000,0.0000,4.6667,1.0000,1.0000,0.0869,,'-0.2341
social_force,social_force,doorway,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0107,,'-1.1146
social_force,social_force,down_path,3,0.0000,0.0000,0.0000,0.0000,0.0000,12.6667,1.0000,0.7408,0.0000,,'-1.1426
social_force,social_force,entering_elevator,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.9082,0.0000,,'-1.1273
social_force,social_force,entering_room,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-1.1060
social_force,social_force,exiting_elevator,3,0.0000,1.0000,0.0000,0.0000,0.0000,2.3333,1.0000,1.0000,0.0000,,'-1.1811
