scenario_id,seed,classification,mean_success,mean_collision,planner_count
francis2023_intersection_no_gesture,111,easy,1.0000,0.0000,4
francis2023_intersection_no_gesture,112,easy,1.0000,0.0000,4
francis2023_intersection_no_gesture,113,easy,1.0000,0.0000,4
francis2023_intersection_no_gesture,114,easy,1.0000,0.0000,4
francis2023_intersection_no_gesture,115,easy,1.0000,0.0000,4
francis2023_intersection_no_gesture,117,easy,1.0000,0.0000,4
francis2023_intersection_no_gesture,118,easy,1.0000,0.0000,4
francis2023_intersection_no_gesture,119,easy,1.0000,0.0000,4
francis2023_intersection_no_gesture,120,easy,1.0000,0.0000,4
francis2023_intersection_proceed,116,hard,0.0000,0.0000,4
francis2023_intersection_proceed,111,easy,1.0000,0.0000,4
francis2023_intersection_proceed,112,easy,1.0000,0.0000,4
francis2023_intersection_proceed,113,easy,1.0000,0.0000,4
francis2023_intersection_proceed,114,easy,1.0000,0.0000,4
francis2023_intersection_proceed,115,easy,1.0000,0.0000,4
francis2023_intersection_proceed,117,easy,1.0000,0.0000,4
francis2023_intersection_proceed,118,easy,1.0000,0.0000,4
francis2023_intersection_proceed,119,easy,1.0000,0.0000,4
francis2023_intersection_proceed,120,easy,1.0000,0.0000,4
francis2023_intersection_wait,116,hard,0.0000,0.0000,4
francis2023_intersection_wait,111,easy,1.0000,0.0000,4
francis2023_intersection_wait,112,easy,1.0000,0.0000,4
francis2023_intersection_wait,113,easy,1.0000,0.0000,4
francis2023_intersection_wait,114,easy,1.0000,0.0000,4
francis2023_intersection_wait,115,easy,1.0000,0.0000,4
francis2023_intersection_wait,117,easy,1.0000,0.0000,4
francis2023_intersection_wait,118,easy,1.0000,0.0000,4
francis2023_intersection_wait,119,easy,1.0000,0.0000,4
francis2023_intersection_wait,120,easy,1.0000,0.0000,4
francis2023_join_group,113,hard,0.0000,0.0000,4
francis2023_join_group,116,hard,0.0000,0.0000,4
francis2023_join_group,112,hard,0.2500,0.0000,4
francis2023_join_group,115,hard,0.2500,0.0000,4
francis2023_join_group,114,easy,0.7500,0.0000,4
francis2023_join_group,117,easy,0.7500,0.0000,4
francis2023_join_group,111,easy,1.0000,0.0000,4
francis2023_join_group,118,easy,1.0000,0.0000,4
francis2023_join_group,119,easy,1.0000,0.0000,4
francis2023_join_group,120,easy,1.0000,0.0000,4
francis2023_leading_human,111,easy,1.0000,0.0000,4
francis2023_leading_human,112,easy,1.0000,0.0000,4
francis2023_leading_human,113,easy,1.0000,0.0000,4
francis2023_leading_human,114,easy,1.0000,0.0000,4
francis2023_leading_human,115,easy,1.0000,0.0000,4
francis2023_leading_human,116,easy,1.0000,0.0000,4
francis2023_leading_human,117,easy,1.0000,0.0000,4
francis2023_leading_human,118,easy,1.0000,0.0000,4
francis2023_leading_human,119,easy,1.0000,0.0000,4
francis2023_leading_human,120,easy,1.0000,0.0000,4
francis2023_leave_group,113,hard,0.5000,0.0000,4
francis2023_leave_group,111,easy,0.7500,0.0000,4
francis2023_leave_group,112,easy,0.7500,0.0000,4
francis2023_leave_group,114,easy,0.7500,0.0000,4
francis2023_leave_group,115,easy,0.7500,0.0000,4
francis2023_leave_group,116,easy,0.7500,0.0000,4
francis2023_leave_group,117,easy,0.7500,0.0000,4
francis2023_leave_group,120,easy,0.7500,0.0000,4
francis2023_leave_group,118,easy,1.0000,0.0000,4
francis2023_leave_group,119,easy,1.0000,0.0000,4
francis2023_narrow_doorway,111,hard,0.0000,0.0000,4
francis2023_narrow_doorway,112,hard,0.0000,0.0000,4
francis2023_narrow_doorway,113,hard,0.0000,0.0000,4
francis2023_narrow_doorway,114,hard,0.0000,0.0000,4
francis2023_narrow_doorway,115,hard,0.0000,0.0000,4
francis2023_narrow_doorway,116,hard,0.0000,0.0000,4
francis2023_narrow_doorway,117,hard,0.0000,0.0000,4
francis2023_narrow_doorway,118,hard,0.0000,0.0000,4
francis2023_narrow_doorway,119,hard,0.0000,0.0000,4
francis2023_narrow_doorway,120,hard,0.0000,0.0000,4
francis2023_narrow_hallway,116,hard,0.0000,0.0000,4
francis2023_narrow_hallway,111,easy,1.0000,0.0000,4
francis2023_narrow_hallway,112,easy,1.0000,0.0000,4
francis2023_narrow_hallway,113,easy,1.0000,0.0000,4
francis2023_narrow_hallway,114,easy,1.0000,0.0000,4
francis2023_narrow_hallway,115,easy,1.0000,0.0000,4
francis2023_narrow_hallway,117,easy,1.0000,0.0000,4
francis2023_narrow_hallway,118,easy,1.0000,0.0000,4
francis2023_narrow_hallway,119,easy,1.0000,0.0000,4
francis2023_narrow_hallway,120,easy,1.0000,0.0000,4
francis2023_parallel_traffic,111,easy,1.0000,0.0000,4
francis2023_parallel_traffic,112,easy,1.0000,0.0000,4
francis2023_parallel_traffic,113,easy,1.0000,0.0000,4
francis2023_parallel_traffic,114,easy,1.0000,0.0000,4
francis2023_parallel_traffic,115,easy,1.0000,0.0000,4
francis2023_parallel_traffic,116,easy,1.0000,0.0000,4
francis2023_parallel_traffic,117,easy,1.0000,0.0000,4
francis2023_parallel_traffic,118,easy,1.0000,0.0000,4
francis2023_parallel_traffic,119,easy,1.0000,0.0000,4
francis2023_parallel_traffic,120,easy,1.0000,0.0000,4
francis2023_pedestrian_obstruction,111,easy,1.0000,0.0000,4
francis2023_pedestrian_obstruction,112,easy,1.0000,0.0000,4
francis2023_pedestrian_obstruction,113,easy,1.0000,0.0000,4
francis2023_pedestrian_obstruction,114,easy,1.0000,0.0000,4
francis2023_pedestrian_obstruction,115,easy,1.0000,0.0000,4
francis2023_pedestrian_obstruction,116,easy,1.0000,0.0000,4
francis2023_pedestrian_obstruction,117,easy,1.0000,0.0000,4
francis2023_pedestrian_obstruction,118,easy,1.0000,0.0000,4
francis2023_pedestrian_obstruction,119,easy,1.0000,0.0000,4
francis2023_pedestrian_obstruction,120,easy,1.0000,0.0000,4
francis2023_pedestrian_overtaking,111,easy,1.0000,0.0000,4
francis2023_pedestrian_overtaking,112,easy,1.0000,0.0000,4
francis2023_pedestrian_overtaking,113,easy,1.0000,0.0000,4
francis2023_pedestrian_overtaking,114,easy,1.0000,0.0000,4
francis2023_pedestrian_overtaking,115,easy,1.0000,0.0000,4
francis2023_pedestrian_overtaking,116,easy,1.0000,0.0000,4
francis2023_pedestrian_overtaking,117,easy,1.0000,0.0000,4
francis2023_pedestrian_overtaking,118,easy,1.0000,0.0000,4
francis2023_pedestrian_overtaking,119,easy,1.0000,0.0000,4
francis2023_pedestrian_overtaking,120,easy,1.0000,0.0000,4
francis2023_perpendicular_traffic,116,hard,0.0000,0.0000,4
francis2023_perpendicular_traffic,111,easy,1.0000,0.0000,4
francis2023_perpendicular_traffic,112,easy,1.0000,0.0000,4
francis2023_perpendicular_traffic,113,easy,1.0000,0.0000,4
francis2023_perpendicular_traffic,114,easy,1.0000,0.0000,4
francis2023_perpendicular_traffic,115,easy,1.0000,0.0000,4
francis2023_perpendicular_traffic,117,easy,1.0000,0.0000,4
francis2023_perpendicular_traffic,118,easy,1.0000,0.0000,4
francis2023_perpendicular_traffic,119,easy,1.0000,0.0000,4
francis2023_perpendicular_traffic,120,easy,1.0000,0.0000,4
francis2023_robot_crowding,111,easy,1.0000,0.0000,4
francis2023_robot_crowding,112,easy,1.0000,0.0000,4
francis2023_robot_crowding,113,easy,1.0000,0.0000,4
francis2023_robot_crowding,114,easy,1.0000,0.0000,4
francis2023_robot_crowding,115,easy,1.0000,0.0000,4
francis2023_robot_crowding,116,easy,1.0000,0.0000,4
francis2023_robot_crowding,117,easy,1.0000,0.0000,4
francis2023_robot_crowding,118,easy,1.0000,0.0000,4
francis2023_robot_crowding,119,easy,1.0000,0.0000,4
francis2023_robot_crowding,120,easy,1.0000,0.0000,4
francis2023_robot_overtaking,111,easy,1.0000,0.0000,4
francis2023_robot_overtaking,112,easy,1.0000,0.0000,4
francis2023_robot_overtaking,113,easy,1.0000,0.0000,4
francis2023_robot_overtaking,114,easy,1.0000,0.0000,4
francis2023_robot_overtaking,115,easy,1.0000,0.0000,4
francis2023_robot_overtaking,116,easy,1.0000,0.0000,4
francis2023_robot_overtaking,117,easy,1.0000,0.0000,4
francis2023_robot_overtaking,118,easy,1.0000,0.0000,4
francis2023_robot_overtaking,119,easy,1.0000,0.0000,4
francis2023_robot_overtaking,120,easy,1.0000,0.0000,4
